"//campaign:Rexuiz 2.5 Campaign"
"//game","mapname","bots","skill","frag","mutator-sets","description","long description"
//"dm","tutorial",1,1,1,,"Basic tutorial","Welcome to Rexuiz!\n\nYou'll start off with this simple guided tutorial, which will teach you some very basic things about Rexuiz which might not seem obvious at first.\n"
"kh","stormkeep2",5,12,500,"g_keyhunt_teams_override 2","KH: Stormkeep 2","In Key Hunt, your goal is to collect the keys from the other teams. You must bring all keys together to get 100 points, and the game will end at 500."
"kh","aneurysm",5,13,600,"g_keyhunt_teams_override 3","KH: Aneurysm","On this industrial arena, you are fighting two other teams. As before, you must bring all keys together, for 200 points this time. The total you have to reach is 600."
"kh","bleach",8,14,1000,"g_keyhunt_teams_override 3","KH: Bleach","Three Teams Eight Bots.\n\nDo your best.\n\nOver."
"kh","dieselpower",3,15,500,"g_keyhunt_teams_override 2","KH: Diesel Power","A large map, and just two bots per team, 4 total. You'll be running around the map all the time, so learn doing it fast.\n\nBy the way, Key Hunt can be played online on quite some servers. You should be ready for online KH play after this match."
"dm","silvercity",5,6,30,"g_minstagib 1; sv_gravity 200","SPECIAL: SilverCity","You now know MinstaGib... so let's combine it with low gravity!\n\nYou'll feel like you're floating in this huge outdoor arena."
"ctf","basementctf",1,17,100,,"CTF: Basement","Welcome to the Capture The Flag game mode. Here, you are supposed to take the enemy flag, and bring it back to yours.\n\nAlso, you have to prevent the enemy from doing the same, as you can only capture his flag when your flag is still at your base.\n\nLet's start out easy, with a single bot in the enemy team. 100 points win."
"ctf","runningmanctf",3,18,100,,"CTF: Running Man","Now that you have played a simple CTF match, let's try one with team mates.\n\nDo not shoot your team mate, and let him protect you while you carry the flag back home."
"ctf","bloodprisonctf",5,19,150,,"CTF: Blood Prison","Let's try the same with a total of 6 players."
"ctf","accident",5,20,100,,"CTF: Accident","Enough of the CTF training arenas - you can now play on the real thing, namely, this industrial CTF level which you can find on many online servers too. Just remember that this map is called 'accident'."
"dm","evilspace",3,21,9,"g_weaponarena laser","SPECIAL: [evilspace]","All you get is a Laser.\n\nWell, I think you know how to use it to push the bots off this map into the deadly void..."
"dom","basement",1,22,70,,"DOM: Basement","Domination: take control points so they show the color of your team, and make the enemies not take yours. Points are awarded for holding a control point.\n\n70 points win."
"dom","runningman",3,23,100,,"DOM: Running Man","This time it's a bigger map and you get a team mate to help you capture the control points.\n\n3 bots, and 100 points to win."
"dom","slimepit",5,24,100,,"DOM: The Slime Pit","An old, rusty industrial arena on which you have to watch out for slime...\n\nNote: while trying to capture one control point after another, you should keep an eye on your already captured control points, and defend them from incoming enemies."
"dom","ruiner",5,25,100,,"DOM: RUINER","You got through The Slime Pit, go wash off that goo and try one last round of Domination here.\n\nYou may want to enable reflections in the Effects menu, but don't get carried away by them, as there still are control points to worry about..."
"ctf","eggandbacon",7,26,200,,"SPECIAL: Egg & Bacon","An arena especially for spamming around with all the weapons. Enjoy it, and when you had enough of it, bring the enemy flag home...\n\nYou will notice some odd weapons here that haven't appeared before, by the way. Learn using them."
"rc","racetrack",0,0,3600,,"Race: Racetrack","Race is about running as fast as possible on the map, by jumping at the right times, and using your weapons to gain more speed.\n\nOn this map, you have to finish a lap in 36.0 seconds to proceed. The mortar which you will find behind you may be an useful tool for this."
"dm","final_rage",3,27,20,"g_weaponarena rocketlauncher","SPECIAL: Final rage","Missiles... try playing with them, to let them blow up directly in the face of your enemies.\n\nThe final is near..."
"dm","reslimed",2,28,9,,"DM: Slimepit Revisited","It is crucial to actually dodge rockets here. Also, there are traps on this map that you can activate to hurt your opponents - find then!"
"dm","bluesky",3,29,9,,"DM: Blue Sky","And the sky is the limit... enjoy the view and try to keep alive! Your 3 enemies will try to hit you using the Nex and other weapons suitable for long distances, so never stop moving!"
"dm","farewell",4,30,9,,"DM: Farewell","Show your enemies no mercy in this medieval arena, as they certainly will have none on you!\n\nThis is the last level before the final."
"dm","bloodprison",5,31,9,,"DM: Blood Prison","THE FINAL\n\nUse all you have learned so far and win the campaign if you can!"
